Final area = 212779.15120446854
Black area = 37083.15120446854

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb0 (379.98053,377.25448) (403.98053,401.25448)
sb1 (443.92431,341.262) (491.07301,356.97823)
sb2 (379.98053,257.56935) (445.59303,279.44018)
sb3 (479.95672,377.25448) (509.0428,406.34056)
sb4 (428.12558,279.44018) (443.92431,332.10263)
sb5 (424.50229,201.79729) (457.44162,234.73662)
sb6 (500.36528,297.56935) (511.00013,333.01884)
sb7 (443.92431,296.99011) (457.20588,341.262)
sb8 (500.36528,257.56935) (512.36528,297.56935)
sb9 (391.71509,234.73662) (460.21327,257.56935)
sb10 (431.10985,377.25448) (469.05718,415.20181)
sb11 (379.98053,279.44018) (418.86497,292.40166)
sb12 (457.20588,296.99011) (496.09032,335.87456)
sb13 (379.98053,292.40166) (405.43637,377.25448)
sb14 (391.71509,172.50565) (425.25611,183.68599)
sb15 (465.02945,201.46951) (510.5267,246.96676)
sb16 (469.05718,377.25448) (479.95672,413.58628)
sb17 (435.73782,172.50565) (465.02945,201.79729)
sb18 (391.71509,183.68599) (435.73782,198.36023)
sb19 (428.12558,332.10263) (438.51788,366.74365)
sb20 (443.92431,279.44018) (496.5741,296.99011)
sb21 (405.43637,292.40166) (428.12558,368.03235)
sb22 (443.92431,356.97823) (499.07864,375.36301)
sb23 (445.59303,257.56935) (500.36528,275.82677)
sb24 (391.71509,159.66042) (425.25611,170.84076)
sb25 (444.4072,0) (480.4072,36.0)
sb26 (391.71509,201.79729) (424.50229,234.58448)
sb27 (265.47071,377.8736) (288.05389,400.45678)
sb28 (465.02945,159.66042) (506.83854,201.46951)
sb29 (379.98053,12.0) (391.52176,50.47077)
sb30 (379.98053,159.66042) (391.71509,198.77563)
sb31 (433.37381,110.29206) (457.70486,134.62311)
sb32 (403.98053,377.25448) (431.10985,404.3838)
sb33 (288.05389,396.58189) (332.1447,411.27883)
sb34 (417.53714,0) (444.4072,26.87006)
sb35 (425.25611,159.66042) (463.79181,172.50565)
sb36 (369.94061,190.2041) (379.98053,223.6705)
sb37 (492.91849,67.97058) (511.24879,86.30088)
sb38 (394.34716,98.71793) (410.39085,152.1969)
sb39 (492.91849,86.30088) (512.36071,151.10829)
sb40 (417.53714,67.97058) (476.22274,87.53245)
sb41 (344.17875,377.8736) (360.17875,393.8736)
sb42 (417.53714,87.53245) (433.37381,140.32134)
sb43 (339.00847,235.81112) (359.20748,303.14115)
sb44 (379.98053,0) (415.98053,12.0)
sb45 (433.37381,87.53245) (456.13342,110.29206)
sb46 (449.1441,36.0) (475.97692,62.83282)
sb47 (457.70486,87.53245) (488.7854,97.89263)
sb48 (339.00847,190.2041) (352.69058,235.81112)
sb49 (457.70486,97.89263) (492.91849,133.10626)
sb50 (480.4072,0) (500.79837,67.97058)
sb51 (359.20748,290.06447) (378.9255,355.79118)
sb52 (417.53714,36.0) (449.1441,67.60696)
sb53 (290.66595,190.2041) (320.96446,200.30361)
sb54 (379.98053,98.71793) (394.34716,146.60669)
sb55 (307.2068,200.30361) (320.60083,244.95037)
sb56 (332.1447,396.58189) (372.76489,410.12196)
sb57 (290.66595,200.30361) (307.2068,255.4398)
sb58 (290.66595,261.45915) (339.00847,277.57332)
sb59 (265.47071,243.93353) (290.66595,327.91765)
sb60 (288.05389,377.8736) (344.17875,396.58189)
sb61 (417.53714,140.32134) (475.55438,159.66042)
sb62 (290.66595,277.57332) (313.01544,352.07165)
sb63 (265.47071,190.2041) (288.38359,213.11698)
sb64 (391.52176,12.0) (417.53714,98.71793)
sb65 (238.42948,357.84237) (255.66317,415.28799)
sb66 (235.34597,190.2041) (252.32537,246.8021)
sb67 (313.01544,277.57332) (335.11522,351.23924)
sb68 (339.00847,303.14115) (354.88298,356.05618)
sb69 (238.42948,330.97231) (265.29954,357.84237)
sb70 (265.47071,213.11698) (287.92065,235.56693)
sb71 (290.66595,356.05618) (356.11822,377.8736)
sb72 (320.60083,200.30361) (338.94749,261.45915)
sb73 (363.60504,7.48331) (377.92985,55.23266)
sb74 (218.49289,294.75244) (258.06561,307.94334)
sb75 (178.32957,190.2041) (191.97874,235.70136)
sb76 (307.2068,244.95037) (320.16829,257.91185)
sb77 (359.20748,190.2041) (369.94061,225.98119)
sb78 (178.32957,330.97231) (236.2433,350.27689)
